LocationName,FALSE,TRUE,Total
BASSI BOGETAORIO,75,22,77.3%
BASSI BOITANGARE,89,64,58.2%
BASSI BORABU,110,54,67.1%
BASSI CENTRAL,125,102,55.1%
BASSI CHACHE,127,57,69.0%
BASSI MASIGE EAST,100,79,55.9%
BASSI MASIGE WEST,108,91,54.3%
BOGEKA,32,112,22.2%
BOGIAKUMU,171,86,66.5%
BOGUSERO NORTH,69,83,45.4%
BOGUSERO SOUTH,54,87,38.3%
BOMARIBA,116,68,63.0%
BOMORENDA,146,77,65.5%
BOOCHI BORABU,81,76,51.6%
BOSONGO,222,148,60.0%
CHITAGO,84,69,54.9%
GESUSU,113,69,62.1%
GETENGA,76,64,54.3%
GIONSARIA,60,21,74.1%
IBENO,115,70,62.2%
IKORONGO,111,31,78.2%
IYABE,132,41,76.3%
KEGATI,88,71,55.3%
KEGOGI,96,54,64.0%
KEUMBU,185,96,65.8%
KIOGORO,111,87,56.1%
MAGENCHE,232,89,72.3%
MAJOGE BORABU,145,86,62.8%
MAJOGE CHACHE,110,129,46.0%
MAJOGE MASABA,179,116,60.7%
MOGONGA,20,14,58.8%
MOKWERERO,43,50,46.2%
MWAGICHANA,90,73,55.2%
MWAKIBAGENDI,28,97,22.4%
MWAMONARI,40,31,56.3%
NGENYI,128,124,50.8%
NORTH MASABA,104,107,49.3%
NYACHEKI,57,66,46.3%
NYAKEMBENE,96,79,54.9%
NYAKOE,87,66,56.9%
NYAMAGESA,100,76,56.8%
NYANGITI,22,37,37.3%
NYANGURU,7,37,15.9%
NYANSAKIA,21,52,28.8%
NYARIBARI CENTRAL,46,42,52.3%
NYARIBARI IRIANYI,94,50,65.3%
NYATIEKO,109,79,58.0%
OTENDO,64,31,67.4%
RAMASHA,66,34,66.0%
RIANA,116,67,63.4%
RIGENA,22,78,22.0%
SENGERA,159,112,58.7%
SENSI,23,31,42.6%
SOUTH MUGIRANGO BORABU,109,84,56.5%
SOUTH MUGIRANGO CENTRAL,109,89,55.1%
SOUTH MUGIRANGO CHACHE,102,184,35.7%
TENDERE,187,75,71.4%
TOWNSHIP,279,190,59.5%
Total,5790,4354,57.1%
