LocationName,FALSE,TRUE,Total
BASSI BOGETAORIO,67,30,69.1%
BASSI BOITANGARE,119,34,77.8%
BASSI BORABU,84,80,51.2%
BASSI CENTRAL,67,160,29.5%
BASSI CHACHE,92,92,50.0%
BASSI MASIGE EAST,111,68,62.0%
BASSI MASIGE WEST,93,106,46.7%
BOGEKA,88,55,61.5%
BOGIAKUMU,117,140,45.5%
BOGUSERO NORTH,89,63,58.6%
BOGUSERO SOUTH,83,58,58.9%
BOMARIBA,85,99,46.2%
BOMORENDA,118,105,52.9%
BOOCHI BORABU,108,49,68.8%
BOSONGO,166,204,44.9%
CHITAGO,108,45,70.6%
GESUSU,62,120,34.1%
GETENGA,99,41,70.7%
GIONSARIA,39,42,48.1%
IBENO,123,62,66.5%
IKORONGO,22,120,15.5%
IYABE,110,63,63.6%
KEGATI,50,109,31.4%
KEGOGI,85,65,56.7%
KEUMBU,139,142,49.5%
KIOGORO,73,125,36.9%
MAGENCHE,183,138,57.0%
MAJOGE BORABU,112,119,48.5%
MAJOGE CHACHE,122,117,51.0%
MAJOGE MASABA,147,148,49.8%
MOGONGA,8,26,23.5%
MOKWERERO,46,47,49.5%
MWAGICHANA,55,108,33.7%
MWAKIBAGENDI,28,97,22.4%
MWAMONARI,41,30,57.7%
NGENYI,103,149,40.9%
NORTH MASABA,83,128,39.3%
NYACHEKI,53,70,43.1%
NYAKEMBENE,102,73,58.3%
NYAKOE,73,80,47.7%
NYAMAGESA,68,108,38.6%
NYANGITI,27,32,45.8%
NYANGURU,29,15,65.9%
NYANSAKIA,22,51,30.1%
NYARIBARI CENTRAL,51,37,58.0%
NYARIBARI IRIANYI,50,94,34.7%
NYATIEKO,91,97,48.4%
OTENDO,36,59,37.9%
RAMASHA,33,67,33.0%
RIANA,83,100,45.4%
RIGENA,23,77,23.0%
SENGERA,112,159,41.3%
SENSI,22,32,40.7%
SOUTH MUGIRANGO BORABU,121,72,62.7%
SOUTH MUGIRANGO CENTRAL,77,121,38.9%
SOUTH MUGIRANGO CHACHE,138,148,48.3%
TENDERE,126,136,48.1%
TOWNSHIP,220,248,47.0%
Total,4882,5260,48.1%
