LocationName,FALSE,TRUE,Total
BASSI BOGETAORIO,56,41,57.7%
BASSI BOITANGARE,102,51,66.7%
BASSI BORABU,22,142,13.4%
BASSI CENTRAL,148,79,65.2%
BASSI CHACHE,115,69,62.5%
BASSI MASIGE EAST,49,130,27.4%
BASSI MASIGE WEST,84,115,42.2%
BOGEKA,72,71,50.3%
BOGIAKUMU,207,50,80.5%
BOGUSERO NORTH,96,56,63.2%
BOGUSERO SOUTH,54,87,38.3%
BOMARIBA,113,71,61.4%
BOMORENDA,167,56,74.9%
BOOCHI BORABU,133,24,84.7%
BOSONGO,129,241,34.9%
CHITAGO,96,57,62.7%
GESUSU,47,135,25.8%
GETENGA,120,20,85.7%
GIONSARIA,78,3,96.3%
IBENO,71,114,38.4%
IKORONGO,115,27,81.0%
IYABE,139,34,80.3%
KEGATI,31,128,19.5%
KEGOGI,107,43,71.3%
KEUMBU,249,32,88.6%
KIOGORO,151,47,76.3%
MAGENCHE,207,114,64.5%
MAJOGE BORABU,138,93,59.7%
MAJOGE CHACHE,156,83,65.3%
MAJOGE MASABA,174,121,59.0%
MOGONGA,20,14,58.8%
MOKWERERO,53,40,57.0%
MWAGICHANA,84,79,51.5%
MWAKIBAGENDI,91,34,72.8%
MWAMONARI,47,24,66.2%
NGENYI,179,73,71.0%
NORTH MASABA,88,123,41.7%
NYACHEKI,63,60,51.2%
NYAKEMBENE,150,25,85.7%
NYAKOE,41,112,26.8%
NYAMAGESA,104,72,59.1%
NYANGITI,21,38,35.6%
NYANGURU,31,13,70.5%
NYANSAKIA,20,53,27.4%
NYARIBARI CENTRAL,74,14,84.1%
NYARIBARI IRIANYI,71,73,49.3%
NYATIEKO,140,48,74.5%
OTENDO,59,36,62.1%
RAMASHA,23,77,23.0%
RIANA,129,54,70.5%
RIGENA,61,39,61.0%
SENGERA,152,119,56.1%
SENSI,40,14,74.1%
SOUTH MUGIRANGO BORABU,93,100,48.2%
SOUTH MUGIRANGO CENTRAL,175,23,88.4%
SOUTH MUGIRANGO CHACHE,58,228,20.3%
TENDERE,79,183,30.2%
TOWNSHIP,275,193,58.8%
Total,5847,4295,57.7%
